Date_index,Date,Allegany,Anne Arundel,Baltimore City,Baltimore County,Calvert,Caroline,Carroll,Cecil,Charles,Dorchester,Frederick,Garrett,Harford,Howard,Kent,Montgomery,Prince Georges,Queen Anne's,St. Mary's,Somerset,Talbot,Washington,Wicomico,Worcester,Total,Female,Male,AA,Asian,White,Hispanic,Other,Data not available
0,3/5/20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3/6/20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3/7/20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3/8/20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,3/9/20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,3/10/20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,3/15/20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,3/16/20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,3/17/20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,3/18/20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,3/19/20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,3/20/20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,3/21/20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,3/22/20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,3/23/20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,3/24/20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,3/25/20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,3/26/20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,3/27/20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,3/28/20,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,
24,3/29/20,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,
25,3/30/20,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,
26,3/31/20,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,
27,4/1/20,,,,,,,,,,,,,,,,,,,,,,,,,31,,,,,,,,
28,4/2/20,,,,,,,,,,,,,,,,,,,,,,,,,36,,,,,,,,
29,4/3/20,,,,,,,,,,,,,,,,,,,,,,,,,42,,,,,,,,
30,4/4/20,,,,,,,,,,,,,,,,,,,,,,,,,53,,,,,,,,
31,4/5/20,,,,,,,,,,,,,,,,,,,,,,,,,67,,,,,,,,
32,4/6/20,,,,,,,,,,,,,,,,,,,,,,,,,91,,,,,,,,
33,4/7/20,,,,,,,,,,,,,,,,,,,,,,,,,103,,,,,,,,
34,4/8/20,,,,,,,,,,,,,,,,,,,,,,,,,124,,,,,,,,
35,4/9/20,,,,,,,,,,,,,,,,,,,,,,,,,138,,,,,,,,
36,4/10/20,,,,,,,,,,,,,,,,,,,,,,,,,171,,,,,,,,
37,4/11/20,,,,,,,,,,,,,,,,,,,,,,,,,206,,,,,,,,
38,4/12/20,,,,,,,,,,,,,,,,,,,,,,,,,235,,,,,,,,
39,4/13/20,,,,,,,,,,,,,,,,,,,,,,,,,262,,,,,,,,
40,4/14/20,,,,,,,,,,,,,,,,,,,,,,,,,302,,,,,,,,
41,4/15/20,,,,,,,,,,,,,,,,,,,,,,,,,349,,,,,,,,
42,4/16/20,0,29,31,31,1,0,21,2,13,1,22,0,0,10,1,56,70,1,1,0,1,1,1,0,392,187,205,,,,,,
43,4/17/20,1,34,38,37,2,0,25,2,15,1,23,0,0,10,1,63,77,1,1,0,1,1,1,0,425,198,227,,,,,,
44,4/18/20,1,34,40,38,2,0,26,3,16,1,23,0,0,10,1,70,85,2,1,0,1,3,1,0,463,218,244,183,15,148,20,,
45,4/19/20,1,40,46,44,3,0,27,3,17,1,25,0,1,11,1,80,98,2,2,0,1,3,3,0,486,224,261,196,15,159,21,,
46,4/20/20,1,42,49,44,3,0,30,3,19,1,25,0,1,12,1,89,103,2,2,0,1,3,3,0,516,242,274,207,22,181,26,,
47,4/21/20,2,45,54,51,4,0,31,3,22,1,28,0,1,12,1,99,111,2,3,0,1,3,2,0,584,270,314,218,21,201,32,17,95
48,4/22/20,3,49,58,58,5,0,32,5,29,1,29,0,2,13,1,110,125,2,3,0,1,3,2,0,631,292,339,289,21,234,69,10,8
49,4/23/20,3,54,60,62,6,0,34,5,31,2,30,0,2,14,1,121,141,2,4,0,1,3,3,0,680,320,360,289,21,258,72,19,30
50,4/24/20,3,56,65,65,6,0,34,5,33,2,35,0,3,14,2,135,147,3,6,0,1,3,3,0,723,350,373,289,25,275,40,17,77
51,4/25/20,3,62,72,69,7,0,36,5,34,2,39,0,4,15,3,152,162,3,6,0,1,3,4,0,797,385,412,301,29,296,44,10,117
